pattern1	pattern2	instance1	instance2	similarity scores	worker IDs
be situated in	be positioned in	a hole be situated in the diaphragm	a hole be positioned in the diaphragm	6 6 6 5 5	0 1 2 3 4
repeat	reverse	The cycle repeat itself	The cycle reverse itself	2 2 2 1 1	5 6 7 8 9
ensure	be the key to	these elements ensure your success	these elements be the key to your success	5 6 6 5 6	6 7 10 11 8
continue to give	keep on give	the planters continue to give hope	the planters keep on give hope	6 6 5 6 6	12 13 14 7 15
flip	rip	Investors flip properties	Investors rip properties	6 2 2 7 3	16 17 18 19 20
try to make	need to make	Drew Barrymore try to make love	Drew Barrymore need to make love	3 3 2 5 5	0 21 22 23 4
be the guy with	try to pick up	Carlos be the guy with the plan	Carlos try to pick up the plan	6 2 3 4 3	16 17 10 24 25
solve	be the solution to	one solution solve all problems	one solution be the solution to all problems	5 3 5 6 6	26 27 28 17 29
be advised to review	agree to	Members be advised to review the rules	Members agree to the rules	3 4 1 2 3	26 27 28 17 29
appear along	be seen along	the genes appear along each chromosome	the genes be seen along each chromosome	6 6 2 6 5	30 31 3 32 33
be open from	close at	The museum be open from March	The museum close at March	1 4 1 1 1	34 27 35 29 36
care for	provide care for	families and friends care for older people	families and friends provide care for older people	6 6 6 6 6	16 31 37 32 10
be satisfying to	be painful to	artistic , sensitive , or spiritually inclined people be satisfying to him	artistic , sensitive , or spiritually inclined people be painful to him	3 2 2 6 2	38 21 18 19 20
have the face of	scream like	The boy have the face of an angel	The boy scream like an angel	2 2 1 2 2	39 40 12 7 20
want to be free from	be longer subject to	The colonists want to be free from England	The colonists be longer subject to England	2 2 2 1 1	39 6 7 8 9
get money out of	have the money in	Home equity loans get money out of your house	Home equity loans have the money in your house	1 5 3 4 5	41 42 22 21 37
buy for	order for	his buddies buy for him	his buddies order for him	6 6 3 5 5	43 44 35 13 45
start to like	do not like	Sruthi start to like Pandu	Sruthi do not like Pandu	1 1 1 1 1	34 28 29 46 36
be rare for	be easier for	this series be rare for some reason	this series be easier for some reason	1 2 1 2 1	12 14 7 9 15
come from	come out of	the Truth come from a book	the Truth come out of a book	5 6 6 6 5	39 34 47 38 5
be concerned about	be committed to	many companies be concerned about cash flow	many companies be committed to cash flow	1 4 4 4 6	41 2 22 37 4
be the shock of	be the promise of	any time be the shock of battle	any time be the promise of battle	6 2 2 4 2	44 13 17 24 25
write for	publish article in	a contributing editor write for The New York Times	a contributing editor publish article in The New York Times	6 5 5 5 6	16 42 18 19 10
take a flight to	board a plane to	Clinton take a flight to the Middle East	Clinton board a plane to the Middle East	6 5 6 6 5	47 42 18 19 10
have a great influence on	have a powerful influence on	Parents have a great influence on the career development of their children	Parents have a powerful influence on the career development of their children	3 1 5 6 4	38 47 42 18 19
spend 4 day in	attend the university of	My wife spend 4 day in hospital	My wife attend the university of hospital	3 2 1 2 5	38 14 17 18 19
be the capital of	be the capitol of	Hanoi be the capital of Vietnam	Hanoi be the capitol of Vietnam	7 7 7 2 7	40 14 13 15 25
replenish	rebuild	Orange juice replenish Vitamin C and potassium	Orange juice rebuild Vitamin C and potassium	6 6 5 5 5	43 44 6 35 45
lash	sweep through	Hurricane Rita lash western Louisiana and eastern Texas	Hurricane Rita sweep through western Louisiana and eastern Texas	6 6 6 5 6	43 44 35 6 13
carry	be required to carry	rumors carry a grain of truth	rumors be required to carry a grain of truth	3 5 1 5 3	13 14 15 48 25
create for	design for	our people create for centuries	our people design for centuries	5 5 2 4 5	41 22 37 20 49
handle	mention	the Bush administration handle detainees	the Bush administration mention detainees	5 2 3 6 1	6 7 50 8 9
cut	paint	The surgeons cut my leg	The surgeons paint my leg	2 1 2 2 5	0 51 22 37 49
be propagated to	be read from	the changes be propagated to the primary database	the changes be read from the primary database	6 2 2 2 2	34 35 29 46 36
solve the mystery of	discover the secret of	authorities solve the mystery of her disappearance	authorities discover the secret of her disappearance	6 6 5 5 6	43 44 6 35 45
appear on	appear in	my credit appear on my account	my credit appear in my account	6 1 7 6 5	34 28 35 29 36
work as	be hired as	Some children work as guides	Some children be hired as guides	6 6 4 6 5	13 11 15 48 25
lie on	be situated along	The house lie on the hillside	The house be situated along the hillside	1 1 6 6 5	30 31 1 3 33
consist of	be organized into	The target group consist of volunteers	The target group be organized into volunteers	1 3 5 2 5	47 41 22 37 20
do more on	make significant progress on	Japan do more on security	Japan make significant progress on security	5 6 5 5 5	38 47 42 18 19
stay	spin	things stay the same	things spin the same	1 5 2 5 5	47 1 22 23 4
store	share	Nasa store the nasa science network	Nasa share the nasa science network	1 3 5 1 3	30 31 3 32 50
have thousand of	have load of	Some men have thousand of reasons	Some men have load of reasons	6 6 6 6 6	13 11 24 15 25
be dogged by	become mired in	his brother be dogged by injury	his brother become mired in injury	6 3 5 2 7	40 13 17 24 25
announce to	want from	the General Secretary announce to the President	the General Secretary want from the President	1 5 5 6 4	30 31 3 33 52
live	reside	Millions of Americans live households	Millions of Americans reside households	6 6 6 7 6	13 6 11 15 25
fight for	die for	Gordon fight for jobs	Gordon die for jobs	1 1 1 3 5	43 44 35 6 45
donate to	want to donate to	Proceeds donate to charity	Proceeds want to donate to charity	3 4 2 6 5	51 1 3 23 4
be crazy with	cry tear of	Their faces be crazy with devotion	Their faces cry tear of devotion	3 4 3 2 1	5 12 14 7 15
allow the use of	restrict the use of	a search engine allow the use of Boolean operators	a search engine restrict the use of Boolean operators	3 4 1 2 5	38 16 17 18 19
appreciate	mean a lot to	Readers appreciate Holly	Holly mean a lot to Readers	1 6 6 5 5	43 35 13 36 45
make for	demand	The result make for interesting reading	The result demand interesting reading	3 5 6 6 1	39 5 43 44 12
marry in	be ordained in	same-sex couples marry in California	same-sex couples be ordained in California	1 5 2 2 5	1 22 2 3 4
provide for	be provided for	God provide for our use	God be provided for our use	2 4 2 3 5	41 22 37 20 49
affect	be more common in	decisions affect their lives	decisions be more common in their lives	3 5 2 6 4	38 42 18 19 20
speak for	be a feat in	This picture speak for itself	This picture be a feat in itself	3 1 3 1 3	39 34 38 47 5
store	manipulate	The cookies store personal information	The cookies manipulate personal information	1 6 2 2 2	34 27 29 46 36
lobby	provide technical assistance to	a student group lobby the University	a student group provide technical assistance to the University	1 4 1 2 5	30 31 32 50 33
remain in	arrive in	Canada remain in NATO	Canada arrive in NATO	3 6 6 1 1	39 43 44 12 15
be a bit of	feel like	Fat be a bit of a dirty word	Fat feel like a dirty word	5 6 5 6 5	41 51 2 22 20
fall down	tumble down	the dude fall down the stairs	the dude tumble down the stairs	6 6 6 5 6	41 0 22 21 49
set up	close up	Parents set up the furniture	Parents close up the furniture	2 2 2 2 3	0 51 2 22 21
radiate	beam with	Storytellers radiate respect	Storytellers beam with respect	5 5 6 5 6	39 5 7 20 8
tease	sit next to	The guys tease their fans	The guys sit next to their fans	1 2 1 2 4	41 0 2 21 49
hand	sit beside	Bobby hand her clothes	Bobby sit beside her clothes	5 6 1 2 3	34 27 29 36 45
accept	welcome	Lewis accept this truth	Lewis welcome this truth	3 6 5 2 6	41 51 22 37 49
dont have	have access to	those manufacturers dont have the same development costs	those manufacturers have access to the same development costs	1 1 2 6 5	30 31 3 32 33
tease	smile as	Caroline tease him	Caroline smile as him	2 2 1 3 2	39 5 43 12 48
pay the price for	be made to pay for	Jesus pay the price for my sin	Jesus be made to pay for my sin	6 6 6 5 5	34 27 29 36 45
be excited for	gear up for	This team be excited for a while	This team gear up for a while	3 1 4 4 5	14 13 17 24 25
take advantage of	abuse	Guests take advantage of the room and laundry services	Guests abuse the room and laundry services	1 3 2 2 3	16 14 17 10 25
slip from	slip out of	power slip from its hands	power slip out of its hands	3 6 5 6 6	38 47 42 18 19
dont talk about	be afraid to share	Women dont talk about these things	Women be afraid to share these things	3 3 5 4 4	40 13 17 24 25
be called	be known as	Bratislava be called Bratislava	Bratislava be known as Bratislava	6 6 6 6 7	30 31 3 33 52
be released as	be delivered as	The soundtrack be released as an album	The soundtrack be delivered as an album	5 5 6 2 5	41 42 22 37 49
care for	be kind to	the athlete care for his team	the athlete be kind to his team	6 5 5 5 5	0 1 3 23 52
be specific to	be tailored to	ProductCart be specific to Google Checkout	ProductCart be tailored to Google Checkout	6 6 5 5 5	47 16 42 18 20
wake up in	wake with	THE GUYS wake up in THE MORNING	THE GUYS wake with THE MORNING	6 5 6 5 5	16 42 21 20 49
commit a crime against	be concerned for	its employees commit a crime against humanity	its employees be concerned for humanity	6 6 1 1 1	34 27 53 36 45
span more than	go on for over	a career span more than 20 years	a career go on for over 20 years	5 6 6 6 5	39 43 44 12 15
be a place for	be place for	Disneyland be a place for kids of all ages	Disneyland be place for kids of all ages	6 6 6 7 7	12 14 7 9 15
be fought for	fester for	the war be fought for the colonies	the war fester for the colonies	5 3 1 1 1	39 5 43 12 15
go on in	come out of	strange things go on in America	strange things come out of America	5 5 1 6 2	39 5 43 12 48
be the author of	read from	Ed Bagley be the author of Ed Bagley 's Blog	Ed Bagley read from Ed Bagley 's Blog	6 3 5 6 1	30 1 3 33 52
stop take	stop use	women stop take the pills	women stop use the pills	7 6 6 6 6	40 41 0 21 4
take care of	speak for	Parents take care of their personal needs	Parents speak for their personal needs	4 4 5 4 2	41 42 22 21 37
keep an eye out for	look to see	the guide keep an eye out for animals	the guide look to see animals	5 5 5 6 6	41 51 2 21 4
remind	recruit	Tyra remind CariDee	Tyra recruit CariDee	1 1 1 2 4	34 27 29 36 45
speak about	write of	Barack Obama speak about his economic stimulus package	Barack Obama write of his economic stimulus package	1 1 6 6 3	30 31 3 33 52
avoid make	have the right to make	Employees avoid make corrections	Employees have the right to make corrections	1 1 1 2 3	34 27 29 36 45
be directed towards	be oriented towards	Professional development be directed towards individuals	Professional development be oriented towards individuals	6 6 6 5 6	34 27 29 36 45
appreciate	be thankful for	Customers appreciate the suggestion	Customers be thankful for the suggestion	6 6 6 6 4	34 28 35 29 36
be vital for	be crucial to	Water be vital for survival	Water be crucial to survival	6 5 6 3 6	16 42 18 19 20
join with	gather with	All our family join with him	All our family gather with him	1 6 6 6 4	47 1 23 52 4
await	seek	Mumm-Ra await Drag-Ron	Mumm-Ra seek Drag-Ron	4 5 5 5 5	30 31 1 3 33
participate in	be included in	students participate in a practicum	students be included in a practicum	5 6 6 5 5	34 27 29 36 45
major in	hold a bachelors degree in	students major in elementary education	students hold a bachelors degree in elementary education	5 5 5 5 5	39 5 12 7 20
gaze up at	stare up at	his grandson gaze up at him	his grandson stare up at him	6 1 6 5 5	43 44 35 6 45
have all type of	have a variety of	The site have all type of gifts	The site have a variety of gifts	1 6 6 5 5	34 27 23 36 45
